,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,duplicate_discovery_data,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity
4053,TOI-849 b,734.0,39.09 Earths,11.98,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7643/toi-849-b/,Gas Giant,2020,39.09 Earths,0.307 x Jupiter,0.01598 AU,0.8 days,0.0
4054,TRAPPIST-1 b,41.0,0.85 Earths,18.8,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5500/trappist-1-b/,Super Earth,2016,0.85 Earths,1.086 x Earth,0.01111 AU,1.5 days,< 0.081
4055,TRAPPIST-1 c,41.0,1.38 Earths,18.8,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5501/trappist-1-c/,Super Earth,2016,1.38 Earths,1.056 x Earth,0.01521 AU,2.4 days,< 0.083
4056,TRAPPIST-1 d,41.0,0.41 Earths,18.8,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5502/trappist-1-d/,Terrestrial,2016,0.41 Earths,0.772 x Earth,0.02144 AU,4 days,< 0.07
4057,TRAPPIST-1 e,41.0,0.62 Earths,18.8,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3453/trappist-1-e/,Terrestrial,2017,0.62 Earths,0.918 x Earth,0.02817 AU,6.1 days,< 0.085
4058,TRAPPIST-1 f,41.0,0.68 Earths,18.8,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3454/trappist-1-f/,Super Earth,2017,0.68 Earths,1.045 x Earth,0.0371 AU,9.2 days,< 0.063
4059,TRAPPIST-1 g,41.0,1.34 Earths,18.8,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3458/trappist-1-g/,Super Earth,2017,1.34 Earths,1.127 x Earth,0.0451 AU,12.4 days,< 0.061
4060,TRAPPIST-1 h,41.0,0.331 Earths,18.8,2017,https://exoplanets.nasa.gov/exoplanet-catalog/3459/trappist-1-h/,Terrestrial,2017,0.331 Earths,0.752 x Earth,0.061935 AU,18.8 days,0.01
4061,TrES-1 b,523.0,0.84 Jupiters,11.76,2004,https://exoplanets.nasa.gov/exoplanet-catalog/5055/tres-1-b/,Gas Giant,2004,0.84 Jupiters,1.13 x Jupiter,0.03925 AU,3 days,0.0
4062,TrES-2 b,707.0,1.49 Jupiters,11.411,2006,https://exoplanets.nasa.gov/exoplanet-catalog/1716/tres-2-b/,Gas Giant,2006,1.49 Jupiters,1.36 x Jupiter,0.03563 AU,2.5 days,0.0
