,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,duplicate_discovery_data,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity
698,HD 215152 d,70.0,2.801 Earths,8.11,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7260/hd-215152-d/,Super Earth,2018,2.801 Earths,1.48 x Earth,0.08799 AU,10.9 days,0.0
699,HD 215152 e,70.0,2.877 Earths,8.11,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7261/hd-215152-e/,Super Earth,2018,2.877 Earths,1.51 x Earth,0.15417 AU,25.2 days,0.0
700,HD 215497 b,132.0,6.3566 Earths,8.96,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6827/hd-215497-b/,Neptune-like,2009,6.3566 Earths,0.214 x Jupiter,0.05 AU,3.9 days,0.16
701,HD 215497 c,132.0,0.33 Jupiters,8.96,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6828/hd-215497-c/,Gas Giant,2009,0.33 Jupiters,1.11 x Jupiter,1.282 AU,1.6 years,0.49
702,HD 216435 b,108.0,1.26 Jupiters,6.03,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6829/hd-216435-b/,Gas Giant,2002,1.26 Jupiters,1.22 x Jupiter,2.56 AU,3.6 years,0.07
703,HD 216437 b,87.0,2.223 Jupiters,6.057,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6830/hd-216437-b/,Gas Giant,2002,2.223 Jupiters,1.19 x Jupiter,2.497 AU,3.7 years,0.32
704,HD 216536 b,1241.0,1.05 Jupiters,9.23,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6831/hd-216536-b/,Gas Giant,2015,1.05 Jupiters,1.23 x Jupiter,0.61 AU,148.6 days,0.38
705,HD 216770 b,120.0,0.57 Jupiters,8.094,2003,https://exoplanets.nasa.gov/exoplanet-catalog/6832/hd-216770-b/,Gas Giant,2003,0.57 Jupiters,1.26 x Jupiter,0.46 AU,118.5 days,0.37
706,HD 21693 b,106.0,8.23 Earths,7.95,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7309/hd-21693-b/,Neptune-like,2019,8.23 Earths,0.25 x Jupiter,0.1455 AU,22.7 days,0.12
707,HD 21693 c,106.0,17.37 Earths,7.95,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7310/hd-21693-c/,Neptune-like,2019,17.37 Earths,0.387 x Jupiter,0.2586 AU,53.7 days,0.07
708,HD 217107 b,65.0,1.3 Jupiters,6.16,1998,https://exoplanets.nasa.gov/exoplanet-catalog/6833/hd-217107-b/,Gas Giant,1998,1.3 Jupiters,1.22 x Jupiter,0.08 AU,7.1 days,0.13
709,HD 217107 c,65.0,2.6 Jupiters,6.16,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6834/hd-217107-c/,Gas Giant,2005,2.6 Jupiters,1.18 x Jupiter,5.32 AU,11.7 years,0.52
710,HD 21749 c,53.0,3.7 Earths,7.87,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7363/hd-21749-c/,Super Earth,2019,3.7 Earths,0.892 x Earth,0.0695 AU,7.8 days,0.0
711,HD 217786 b,179.0,13 Jupiters,7.8,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6835/hd-217786-b/,Gas Giant,2011,13 Jupiters,1.1 x Jupiter,2.38 AU,3.6 years,0.4
712,HD 217850 b,215.0,21.6 Jupiters,8.52,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7269/hd-217850-b/,Gas Giant,2018,21.6 Jupiters,1.08 x Jupiter,4.56 AU,9.6 years,0.76
713,HD 218566 b,94.0,0.2 Jupiters,8.628,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6836/hd-218566-b/,Gas Giant,2010,0.2 Jupiters,0.832 x Jupiter,0.69 AU,225.7 days,0.3
714,HD 219077 b,95.0,10.39 Jupiters,6.12,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6837/hd-219077-b/,Gas Giant,2012,10.39 Jupiters,1.11 x Jupiter,6.22 AU,15.1 years,0.77
715,HD 219134 b,21.0,4.74 Earths,5.57,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7103/hd-219134-b/,Super Earth,2015,4.74 Earths,1.602 x Earth,0.03876 AU,3.1 days,0.0
716,HD 219134 c,21.0,4.36 Earths,5.57,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7104/hd-219134-c/,Super Earth,2015,4.36 Earths,1.511 x Earth,0.0653 AU,6.8 days,0.06
717,HD 219134 d,21.0,16.17 Earths,5.57,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7105/hd-219134-d/,Super Earth,2015,16.17 Earths,1.61 x Earth,0.237 AU,46.9 days,0.14
718,HD 219134 f,21.0,7.3 Earths,5.57,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7087/hd-219134-f/,Super Earth,2015,7.3 Earths,1.31 x Earth,0.1463 AU,22.7 days,0.15
719,HD 219134 g,21.0,10.80622 Earths,5.57,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7088/hd-219134-g/,Neptune-like,2015,10.80622 Earths,0.293 x Jupiter,0.3753 AU,94.2 days,0.0
720,HD 219134 h,21.0,0.34 Jupiters,5.57,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7089/hd-219134-h/,Gas Giant,2015,0.34 Jupiters,1.14 x Jupiter,3.11 AU,6.2 years,0.06
721,HD 219415 b,541.0,1 Jupiter,8.94,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6838/hd-219415-b/,Gas Giant,2012,1 Jupiter,1.23 x Jupiter,3.2 AU,5.7 years,0.4
722,HD 219666 b,308.0,16.6 Earths,9.65,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7285/hd-219666-b/,Neptune-like,2018,16.6 Earths,0.42 x Jupiter,0.06356 AU,6 days,0.0
723,HD 219828 b,239.0,20.97678 Earths,8.04,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6839/hd-219828-b/,Neptune-like,2007,20.97678 Earths,0.433 x Jupiter,0.0507 AU,3.8 days,0.1
724,HD 219828 c,239.0,14.6 Jupiters,8.04,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7159/hd-219828-c/,Gas Giant,2016,14.6 Jupiters,1.09 x Jupiter,5.79 AU,12.8 years,0.81
725,HD 220074 b,1068.0,16.64 Jupiters,6.4,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6840/hd-220074-b/,Gas Giant,2012,16.64 Jupiters,1.09 x Jupiter,1.6 AU,1.8 years,0.14
726,HD 220197 b,210.0,0.2 Jupiters,9.0,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7531/hd-220197-b/,Gas Giant,2018,0.2 Jupiters,0.832 x Jupiter,2.729 AU,4.7 years,0.19
727,HD 220689 b,153.0,1.118 Jupiters,7.795,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6841/hd-220689-b/,Gas Giant,2012,1.118 Jupiters,1.23 x Jupiter,3.396 AU,6.2 years,0.05
728,HD 220773 b,160.0,1.45 Jupiters,7.093,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6842/hd-220773-b/,Gas Giant,2011,1.45 Jupiters,1.21 x Jupiter,4.94 AU,10.2 years,0.51
729,HD 220842 b,204.0,3.18 Jupiters,7.99,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7114/hd-220842-b/,Gas Giant,2016,3.18 Jupiters,1.17 x Jupiter,0.74 AU,218.5 days,0.4
730,HD 221287 b,183.0,3.09 Jupiters,7.807,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6843/hd-221287-b/,Gas Giant,2007,3.09 Jupiters,1.17 x Jupiter,1.25 AU,456.1 days,0.08
731,HD 221416 b,310.0,0.19 Jupiters,8.146,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7351/hd-221416-b/,Gas Giant,2019,0.19 Jupiters,0.836 x Jupiter,0.1228 AU,14.3 days,0.12
732,HD 221420 b,102.0,9.7 Jupiters,5.81,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7367/hd-221420-b/,Gas Giant,2019,9.7 Jupiters,1.11 x Jupiter,18.5 AU,61.6 years,0.42
733,HD 221585 b,182.0,1.61 Jupiters,7.465,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7158/hd-221585-b/,Gas Giant,2016,1.61 Jupiters,1.21 x Jupiter,2.306 AU,3.2 years,0.12
734,HD 222076 b,298.0,1.56 Jupiters,7.459,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7249/hd-222076-b/,Gas Giant,2016,1.56 Jupiters,1.21 x Jupiter,1.83 AU,2.4 years,0.08
735,HD 222155 b,165.0,2.12 Jupiters,7.114,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6844/hd-222155-b/,Gas Giant,2011,2.12 Jupiters,1.19 x Jupiter,5.14 AU,11 years,0.16
736,HD 222582 b,138.0,8.37 Jupiters,7.68,1999,https://exoplanets.nasa.gov/exoplanet-catalog/6845/hd-222582-b/,Gas Giant,1999,8.37 Jupiters,1.12 x Jupiter,1.34 AU,1.6 years,0.73
737,HD 224538 b,258.0,5.97 Jupiters,8.06,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7238/hd-224538-b/,Gas Giant,2016,5.97 Jupiters,1.14 x Jupiter,2.28 AU,3.3 years,0.46
738,HD 224693 b,306.0,0.7 Jupiters,8.23,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6846/hd-224693-b/,Gas Giant,2006,0.7 Jupiters,1.25 x Jupiter,0.191 AU,26.7 days,0.1
739,HD 22781 b,106.0,13.65 Jupiters,8.766,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6598/hd-22781-b/,Gas Giant,2011,13.65 Jupiters,1.1 x Jupiter,1.167 AU,1.4 years,0.82
740,HD 23079 b,109.0,2.61 Jupiters,7.12,2001,https://exoplanets.nasa.gov/exoplanet-catalog/6597/hd-23079-b/,Gas Giant,2001,2.61 Jupiters,1.18 x Jupiter,1.6 AU,2 years,0.1
741,HD 23127 b,307.0,1.527 Jupiters,8.576,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6596/hd-23127-b/,Gas Giant,2006,1.527 Jupiters,1.21 x Jupiter,2.37 AU,3.3 years,0.41
742,HD 231701 b,356.0,1.13 Jupiters,8.97,2007,https://exoplanets.nasa.gov/exoplanet-catalog/6847/hd-231701-b/,Gas Giant,2007,1.13 Jupiters,1.22 x Jupiter,0.567 AU,141.6 days,0.13
743,HD 233604 b,2833.0,6.575 Jupiters,10.406,2013,https://exoplanets.nasa.gov/exoplanet-catalog/6848/hd-233604-b/,Gas Giant,2013,6.575 Jupiters,1.13 x Jupiter,0.747 AU,192 days,0.05
744,HD 233832 b,192.0,1.78 Jupiters,10.146,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7532/hd-233832-b/,Gas Giant,2018,1.78 Jupiters,1.2 x Jupiter,2.827 AU,5.6 years,0.36
745,HD 23472 b,127.0,17.92 Earths,9.724,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7338/hd-23472-b/,Neptune-like,2019,17.92 Earths,0.395 x Jupiter,0.121 AU,17.7 days,0.0
746,HD 23472 c,127.0,17.18 Earths,9.724,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7339/hd-23472-c/,Neptune-like,2019,17.18 Earths,0.385 x Jupiter,0.17 AU,29.6 days,0.0
747,HD 23596 b,170.0,9.03 Jupiters,7.244,2003,https://exoplanets.nasa.gov/exoplanet-catalog/6599/hd-23596-b/,Gas Giant,2003,9.03 Jupiters,1.12 x Jupiter,2.77 AU,4.3 years,0.27
748,HD 238914 b,1720.0,6 Jupiters,8.79,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7326/hd-238914-b/,Gas Giant,2018,6 Jupiters,1.14 x Jupiter,5.7 AU,11.2 years,0.56
749,HD 240210 b,466.0,5.21 Jupiters,8.33,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6849/hd-240210-b/,Gas Giant,2009,5.21 Jupiters,1.14 x Jupiter,1.16 AU,1.4 years,0.15
750,HD 240237 b,3126.0,15.89 Jupiters,8.19,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6850/hd-240237-b/,Gas Giant,2011,15.89 Jupiters,1.09 x Jupiter,1.92 AU,2 years,0.4
751,HD 24040 b,152.0,3.86 Jupiters,7.493,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6600/hd-24040-b/,Gas Giant,2006,3.86 Jupiters,1.16 x Jupiter,4.92 AU,10 years,0.04
752,HD 24064 b,988.0,12.89 Jupiters,6.75,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7099/hd-24064-b/,Gas Giant,2015,12.89 Jupiters,1.1 x Jupiter,1.29 AU,1.5 years,0.35
753,HD 24085 b,179.0,11.8 Earths,7.564,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7383/hd-24085-b/,Neptune-like,2019,11.8 Earths,0.309 x Jupiter,0.034 AU,2 days,0.22
754,HD 25015 b,122.0,4.48 Jupiters,8.87,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7341/hd-25015-b/,Gas Giant,2019,4.48 Jupiters,1.15 x Jupiter,6.19 AU,16.5 years,0.39
755,HD 25171 b,182.0,0.915 Jupiters,7.782,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6601/hd-25171-b/,Gas Giant,2010,0.915 Jupiters,1.24 x Jupiter,2.971 AU,4.9 years,0.04
756,HD 2638 b,180.0,0.42 Jupiters,9.375,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6779/hd-2638-b/,Gas Giant,2005,0.42 Jupiters,1.28 x Jupiter,0.04 AU,3.4 days,0.0
757,HD 2685 b,646.0,1.17 Jupiters,9.52,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7416/hd-2685-b/,Gas Giant,2019,1.17 Jupiters,1.44 x Jupiter,0.0568 AU,4.1 days,0.09
758,HD 26965 b,16.0,8.47 Earths,4.43,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7281/hd-26965-b/,Neptune-like,2018,8.47 Earths,0.254 x Jupiter,Unknown,42.4 days,0.04
759,HD 27442 b,60.0,1.56 Jupiters,4.44,2000,https://exoplanets.nasa.gov/exoplanet-catalog/6602/hd-27442-b/,Gas Giant,2000,1.56 Jupiters,1.21 x Jupiter,1.271 AU,428.1 days,0.06
760,HD 27631 b,164.0,1.494 Jupiters,8.243,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6603/hd-27631-b/,Gas Giant,2012,1.494 Jupiters,1.21 x Jupiter,3.242 AU,6 years,0.14
761,HD 27894 b,143.0,0.665 Jupiters,9.349,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6604/hd-27894-b/,Gas Giant,2005,0.665 Jupiters,1.25 x Jupiter,0.125 AU,18 days,0.05
762,HD 27894 c,143.0,0.162 Jupiters,9.349,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7217/hd-27894-c/,Gas Giant,2017,0.162 Jupiters,0.735 x Jupiter,0.198 AU,36.1 days,0.02
763,HD 27894 d,143.0,5.415 Jupiters,9.349,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7218/hd-27894-d/,Gas Giant,2017,5.415 Jupiters,1.14 x Jupiter,5.448 AU,14.2 years,0.39
764,HD 28185 b,129.0,5.9 Jupiters,7.81,2001,https://exoplanets.nasa.gov/exoplanet-catalog/6606/hd-28185-b/,Gas Giant,2001,5.9 Jupiters,1.14 x Jupiter,1.02 AU,379 days,0.05
765,HD 28254 b,178.0,1.16 Jupiters,7.684,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6605/hd-28254-b/,Gas Giant,2010,1.16 Jupiters,1.22 x Jupiter,2.15 AU,3.1 years,0.81
766,HD 285507 b,147.0,0.98 Jupiters,10.267,2013,https://exoplanets.nasa.gov/exoplanet-catalog/6853/hd-285507-b/,Gas Giant,2013,0.98 Jupiters,1.23 x Jupiter,0.06 AU,6.1 days,0.09
767,HD 285968 b,31.0,8.4 Earths,10.038,2008,https://exoplanets.nasa.gov/exoplanet-catalog/6852/hd-285968-b/,Neptune-like,2008,8.4 Earths,0.253 x Jupiter,0.066 AU,8.8 days,0.0
768,HD 28678 b,623.0,1.542 Jupiters,8.38,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6607/hd-28678-b/,Gas Giant,2011,1.542 Jupiters,1.21 x Jupiter,1.18 AU,380.2 days,0.15
769,HD 29021 b,101.0,2.4 Jupiters,7.76,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7252/hd-29021-b/,Gas Giant,2017,2.4 Jupiters,1.18 x Jupiter,2.28 AU,3.7 years,0.46
770,HD 290327 b,184.0,2.43 Jupiters,8.99,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6851/hd-290327-b/,Gas Giant,2009,2.43 Jupiters,1.18 x Jupiter,3.43 AU,6.7 years,0.08
771,HD 2952 b,360.0,1.37 Jupiters,5.922,2013,https://exoplanets.nasa.gov/exoplanet-catalog/6780/hd-2952-b/,Gas Giant,2013,1.37 Jupiters,1.21 x Jupiter,1.23 AU,311.6 days,0.13
772,HD 30177 b,182.0,8.622 Jupiters,8.397,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6608/hd-30177-b/,Gas Giant,2002,8.622 Jupiters,1.12 x Jupiter,3.704 AU,6.9 years,0.16
773,HD 30177 c,182.0,7.6 Jupiters,8.397,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7171/hd-30177-c/,Gas Giant,2016,7.6 Jupiters,1.13 x Jupiter,9.89 AU,31.8 years,0.22
774,HD 30562 b,85.0,1.22 Jupiters,5.78,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6609/hd-30562-b/,Gas Giant,2009,1.22 Jupiters,1.22 x Jupiter,2.34 AU,3.2 years,0.76
775,HD 30669 b,186.0,0.47 Jupiters,9.11,2014,https://exoplanets.nasa.gov/exoplanet-catalog/6610/hd-30669-b/,Gas Giant,2014,0.47 Jupiters,1.27 x Jupiter,2.69 AU,4.6 years,0.18
776,HD 30856 b,430.0,1.547 Jupiters,7.91,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6611/hd-30856-b/,Gas Giant,2011,1.547 Jupiters,1.21 x Jupiter,1.85 AU,2.3 years,0.06
777,HD 31253 b,190.0,0.62 Jupiters,7.133,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6612/hd-31253-b/,Gas Giant,2010,0.62 Jupiters,1.26 x Jupiter,1.26 AU,466 days,0.3
778,HD 31527 b,126.0,10.47 Earths,7.49,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7311/hd-31527-b/,Neptune-like,2019,10.47 Earths,0.288 x Jupiter,0.1254 AU,16.6 days,0.1
779,HD 31527 c,126.0,14.16 Earths,7.49,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7312/hd-31527-c/,Neptune-like,2019,14.16 Earths,0.343 x Jupiter,0.2663 AU,51.2 days,0.04
780,HD 31527 d,126.0,11.82 Earths,7.49,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7313/hd-31527-d/,Neptune-like,2019,11.82 Earths,0.309 x Jupiter,0.8098 AU,271.7 days,0.24
781,HD 3167 b,154.0,5.02 Earths,8.94,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7224/hd-3167-b/,Super Earth,2016,5.02 Earths,1.7 x Earth,0.0186 AU,1 days,0.0
782,HD 3167 c,154.0,9.8 Earths,8.94,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7225/hd-3167-c/,Neptune-like,2016,9.8 Earths,0.255 x Jupiter,0.1841 AU,29.8 days,< 0.267
783,HD 3167 d,154.0,6.9 Earths,8.94,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7332/hd-3167-d/,Neptune-like,2017,6.9 Earths,0.225 x Jupiter,0.07757 AU,8.5 days,0.36
784,HD 32518 b,400.0,3.04 Jupiters,6.421,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6613/hd-32518-b/,Gas Giant,2009,3.04 Jupiters,1.17 x Jupiter,0.59 AU,157.5 days,0.01
785,HD 32963 b,124.0,0.7 Jupiters,7.6,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7020/hd-32963-b/,Gas Giant,2015,0.7 Jupiters,1.25 x Jupiter,3.41 AU,6.5 years,0.07
786,HD 330075 b,148.0,0.48 Jupiters,9.334,2004,https://exoplanets.nasa.gov/exoplanet-catalog/6854/hd-330075-b/,Gas Giant,2004,0.48 Jupiters,1.27 x Jupiter,0.04 AU,3.4 days,0.0
787,HD 33142 b,397.0,1.385 Jupiters,7.96,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6614/hd-33142-b/,Gas Giant,2011,1.385 Jupiters,1.21 x Jupiter,1.07 AU,326 days,0.07
788,HD 33142 c,397.0,5.97 Jupiters,7.96,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7292/hd-33142-c/,Gas Giant,2018,5.97 Jupiters,1.14 x Jupiter,Unknown,2.3 years,0.05
789,HD 332231 b,264.0,0.244 Jupiters,8.56,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7624/hd-332231-b/,Gas Giant,2020,0.244 Jupiters,0.867 x Jupiter,0.1436 AU,18.7 days,0.03
790,HD 33283 b,294.0,0.329 Jupiters,8.05,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6615/hd-33283-b/,Gas Giant,2006,0.329 Jupiters,1.12 x Jupiter,0.1508 AU,18.2 days,0.4
791,HD 33564 b,68.0,9.1 Jupiters,5.08,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6616/hd-33564-b/,Gas Giant,2005,9.1 Jupiters,1.12 x Jupiter,1.1 AU,388 days,0.34
792,HD 33844 b,346.0,2.01 Jupiters,7.286,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7095/hd-33844-b/,Gas Giant,2015,2.01 Jupiters,1.19 x Jupiter,1.6 AU,1.5 years,0.15
793,HD 33844 c,346.0,1.75 Jupiters,7.286,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7096/hd-33844-c/,Gas Giant,2015,1.75 Jupiters,1.2 x Jupiter,2.24 AU,2.5 years,0.13
794,HD 34445 b,151.0,0.82 Jupiters,7.328,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6617/hd-34445-b/,Gas Giant,2009,0.82 Jupiters,1.24 x Jupiter,2.07 AU,2.9 years,0.27
795,HD 34445 c,151.0,0.168 Jupiters,7.328,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7335/hd-34445-c/,Gas Giant,2017,0.168 Jupiters,0.752 x Jupiter,0.7181 AU,214.7 days,0.04
796,HD 34445 d,151.0,30.7 Earths,7.328,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7186/hd-34445-d/,Neptune-like,2017,30.7 Earths,0.542 x Jupiter,0.4817 AU,117.9 days,0.03
797,HD 34445 e,151.0,16.8 Earths,7.328,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7187/hd-34445-e/,Neptune-like,2017,16.8 Earths,0.38 x Jupiter,0.2687 AU,49.2 days,0.09
798,HD 34445 f,151.0,37.9 Earths,7.328,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7188/hd-34445-f/,Neptune-like,2017,37.9 Earths,0.613 x Jupiter,1.543 AU,1.9 years,0.03
799,HD 34445 g,151.0,0.38 Jupiters,7.328,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7189/hd-34445-g/,Gas Giant,2017,0.38 Jupiters,1.21 x Jupiter,6.36 AU,15.6 years,0.03
800,HD 35759 b,236.0,3.76 Jupiters,7.74,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7112/hd-35759-b/,Gas Giant,2016,3.76 Jupiters,1.16 x Jupiter,0.389 AU,82.5 days,0.39
801,HD 3651 b,36.0,0.228 Jupiters,5.86,2003,https://exoplanets.nasa.gov/exoplanet-catalog/6781/hd-3651-b/,Gas Giant,2003,0.228 Jupiters,0.899 x Jupiter,0.295 AU,62.3 days,0.65
802,HD 37124 b,103.0,0.675 Jupiters,7.7,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6618/hd-37124-b/,Gas Giant,2002,0.675 Jupiters,1.25 x Jupiter,0.53364 AU,154.4 days,0.05
803,HD 37124 c,103.0,0.652 Jupiters,7.7,2002,https://exoplanets.nasa.gov/exoplanet-catalog/6619/hd-37124-c/,Gas Giant,2002,0.652 Jupiters,1.25 x Jupiter,1.71 AU,2.4 years,0.13
804,HD 37124 d,103.0,0.696 Jupiters,7.7,2005,https://exoplanets.nasa.gov/exoplanet-catalog/6620/hd-37124-d/,Gas Giant,2005,0.696 Jupiters,1.25 x Jupiter,2.807 AU,5.1 years,0.16
805,HD 37605 b,153.0,2.69 Jupiters,8.67,2004,https://exoplanets.nasa.gov/exoplanet-catalog/6621/hd-37605-b/,Gas Giant,2004,2.69 Jupiters,1.18 x Jupiter,0.277 AU,55 days,0.67
806,HD 37605 c,153.0,3.19 Jupiters,8.67,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6622/hd-37605-c/,Gas Giant,2012,3.19 Jupiters,1.17 x Jupiter,3.74 AU,7.5 years,0.03
807,HD 38283 b,124.0,0.4 Jupiters,6.696,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6623/hd-38283-b/,Gas Giant,2010,0.4 Jupiters,1.25 x Jupiter,1.02 AU,363.2 days,0.41
808,HD 38529 b,138.0,0.797 Jupiters,5.95,2000,https://exoplanets.nasa.gov/exoplanet-catalog/6624/hd-38529-b/,Gas Giant,2000,0.797 Jupiters,1.24 x Jupiter,0.1294 AU,14.3 days,0.28
809,HD 38529 c,138.0,12.99 Jupiters,5.95,2000,https://exoplanets.nasa.gov/exoplanet-catalog/6625/hd-38529-c/,Gas Giant,2000,12.99 Jupiters,1.1 x Jupiter,3.64 AU,5.9 years,0.34
810,HD 38801 b,299.0,9.698 Jupiters,8.224,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6626/hd-38801-b/,Gas Giant,2009,9.698 Jupiters,1.11 x Jupiter,1.623 AU,1.9 years,0.02
811,HD 39091 b,60.0,12.9 Jupiters,5.67,2001,https://exoplanets.nasa.gov/exoplanet-catalog/6627/hd-39091-b/,Gas Giant,2001,12.9 Jupiters,1.1 x Jupiter,3.1 AU,5.7 years,0.64
812,HD 39855 b,76.0,8.5 Earths,7.47,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7373/hd-39855-b/,Neptune-like,2019,8.5 Earths,0.254 x Jupiter,0.041 AU,3.2 days,0.14
813,HD 40307 b,42.0,4 Earths,7.17,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6628/hd-40307-b/,Super Earth,2009,4 Earths,1.83 x Earth,0.0468 AU,4.3 days,0.2
814,HD 40307 c,42.0,6.6 Earths,7.17,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6629/hd-40307-c/,Neptune-like,2009,6.6 Earths,0.219 x Jupiter,0.0799 AU,9.6 days,0.06
815,HD 40307 d,42.0,9.5 Earths,7.17,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6630/hd-40307-d/,Neptune-like,2009,9.5 Earths,0.272 x Jupiter,0.1321 AU,20.4 days,0.07
816,HD 40307 f,42.0,5.2 Earths,7.17,2013,https://exoplanets.nasa.gov/exoplanet-catalog/6631/hd-40307-f/,Neptune-like,2013,5.2 Earths,2.13 x Earth,0.247 AU,51.8 days,0.02
817,HD 40307 g,42.0,7.1 Earths,7.17,2013,https://exoplanets.nasa.gov/exoplanet-catalog/6632/hd-40307-g/,Neptune-like,2013,7.1 Earths,0.229 x Jupiter,0.6 AU,197.8 days,0.29
818,HD 40956 b,382.0,2.7 Jupiters,6.423,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7201/hd-40956-b/,Gas Giant,2017,2.7 Jupiters,1.18 x Jupiter,1.4 AU,1.6 years,0.24
